,Unnamed: 0,Location,Dis No,Lat,Long
0,0,Kentucky,2000-0080-USA,34.61,-92.66
1,2,Morris,2000-0500-USA,40.83,-74.53
2,4,Alabama,2000-0919-USA,32.75,-86.75
3,5,Georgia,2000-0919-USA,32.75,-83.5
4,6,Louisiana,2000-0919-USA,31.0,-92.0
5,7,North Carolina,2000-0919-USA,35.5,-80.0
6,8,South Carolina,2000-0919-USA,34.0,-81.0
7,9,Tennessee,2000-0919-USA,35.75,-86.25
8,10,Virginia,2000-0919-USA,37.55,-77.45
9,11,New York,2000-0919-USA,40.71,-74.01
10,12,Pennsylvania,2000-0919-USA,40.27,-76.91
11,15,Texas,2000-0838-USA,31.25,-99.25
12,16,Oklahoma,2000-0838-USA,35.49,-97.5
13,17,New Mexico,2000-0838-USA,34.5,-106.0
14,18,Arkansas,2000-0838-USA,34.75,-92.5
15,19,Missouri,2000-0838-USA,38.25,-92.5
16,21,Crittenden,2000-0021-USA,35.23,-90.28
17,24,Bullock,2000-0067-USA,32.07,-85.7
18,26,Colquitt,2000-0067-USA,31.17,-84.73
19,28,Mitchell,2000-0067-USA,43.71,-98.03
20,29,Thomas,2000-0067-USA,35.74,-98.75
21,32,Lonoke,2000-0067-USA,34.78,-91.9
22,39,Adams,2000-0338-USA,39.87,-104.38
23,40,Columbia,2000-0338-USA,34.0,-81.03
24,41,Crawford,2000-0338-USA,37.51,-94.85
25,42,Dane,2000-0338-USA,48.08,-80.02
26,44,Grant,2000-0338-USA,45.08,-92.91
27,45,Green,2000-0338-USA,40.95,-81.48
28,46,Iowa,2000-0338-USA,42.0,-93.5
29,47,Juneau,2000-0338-USA,58.3,-134.42
30,48,La crosse,2000-0338-USA,43.8,-91.24
31,49,Lafayette,2000-0338-USA,30.22,-92.02
32,50,Monroe,2000-0338-USA,32.51,-92.12
33,51,Richland,2000-0338-USA,46.29,-119.28
34,61,Anderson,2000-0360-USA,34.53,-82.65
35,62,Benton,2000-0360-USA,34.56,-92.59
36,64,Davidson,2000-0360-USA,35.5,-80.84
37,65,Henry,2000-0360-USA,41.11,-89.36
38,66,Hickman,2000-0360-USA,36.57,-89.19
39,67,Houston,2000-0360-USA,29.76,-95.36
40,68,Jackson,2000-0360-USA,32.3,-90.18
41,69,Knox,2000-0360-USA,41.3,-86.62
42,70,Lake,2000-0360-USA,42.33,-88.0
43,71,Obion,2000-0360-USA,36.26,-89.19
44,72,Perry,2000-0360-USA,32.46,-83.73
45,77,Franklin,2000-0232-USA,39.97,-83.02
