,Location,Dis No,Lat,Long
0,Kentucky,2000-0080-USA,-30.77,151.45
2,Morris,2000-0500-USA,40.83,-74.53
4,Alabama,2000-0919-USA,32.75,-86.75
5, Georgia,2000-0919-USA,32.75,-83.5
6, Louisiana,2000-0919-USA,31,-92
7, North Carolina,2000-0919-USA,35.5,-80
8, South Carolina,2000-0919-USA,34,-81
9, Tennessee,2000-0919-USA,35.75,-86.25
10, Virginia,2000-0919-USA,37.55,-77.45
11, New York,2000-0919-USA,40.71,-74.01
12, Pennsylvania,2000-0919-USA,40.27,-76.91
15,Texas,2000-0838-USA,31.25,-99.25
16, Oklahoma,2000-0838-USA,35.49,-97.5
17, New Mexico,2000-0838-USA,34.5,-106
18, Arkansas,2000-0838-USA,34.75,-92.5
19, Missouri,2000-0838-USA,38.25,-92.5
21,Crittenden,2000-0021-USA,35.23,-90.28
24,Bullock,2000-0067-USA,32.07,-85.7
26, Colquitt,2000-0067-USA,31.17,-84.73
28, Mitchell,2000-0067-USA,43.71,-98.03
29, Thomas,2000-0067-USA,35.74,-98.75
32, Lonoke,2000-0067-USA,34.78,-91.9
39,Adams,2000-0338-USA,39.87,-104.38
40, Columbia,2000-0338-USA,34,-81.03
41, Crawford,2000-0338-USA,-26.5,151.82
42, Dane,2000-0338-USA,48.08,-80.02
44, Grant,2000-0338-USA,45.08,-92.91
45, Green,2000-0338-USA,40.95,-81.48
46, Iowa,2000-0338-USA,42,-93.5
47, Juneau,2000-0338-USA,58.3,-134.42
48, La crosse,2000-0338-USA,43.8,-91.24
49, Lafayette,2000-0338-USA,30.22,-92.02
50, Monroe,2000-0338-USA,32.51,-92.12
51, Richland,2000-0338-USA,46.29,-119.28
61,Anderson,2000-0360-USA,34.53,-82.65
62, Benton,2000-0360-USA,34.56,-92.59
64, Davidson,2000-0360-USA,35.5,-80.84
65, Henry,2000-0360-USA,41.11,-89.36
66, Hickman,2000-0360-USA,36.57,-89.19
67, Houston,2000-0360-USA,29.76,-95.36
68, Jackson,2000-0360-USA,32.3,-90.18
69, Knox,2000-0360-USA,41.3,-86.62
70, Lake,2000-0360-USA,52.92,9.13
71, Obion,2000-0360-USA,36.26,-89.19
72, Perry,2000-0360-USA,32.46,-83.73
77,Franklin,2000-0232-USA,39.97,-83.02
82, Connecticut,2000-0937-USA,41.67,-72.67
83, Florida,2000-0937-USA,28.75,-82.5
84, Georgia,2000-0937-USA,32.75,-83.5
85, Massachusetts,2000-0937-USA,42.37,-71.11
86, Mississippi,2000-0937-USA,32.75,-89.75
88, New Jersey,2000-0937-USA,40.17,-74.5
89, New York,2000-0937-USA,40.71,-74.01
90, Pennsylvania,2000-0937-USA,40.27,-76.91
93, Monroe,2000-0652-USA,32.51,-92.12
96,Texas,2000-0433-USA,31.25,-99.25
97, Louisiana,2000-0433-USA,31,-92
99,Gainesville,2000-0128-USA,29.65,-82.32
102, Lafayette,2000-0128-USA,30.22,-92.02
104,Los Alamos,2000-0240-USA,35.89,-106.31
106, Sandoval,2000-0240-USA,38.62,-89.11
109,Park,2000-0363-USA,44.42,-109.67
110, Jefferson,2000-0363-USA,38.86,-77.19
115,Arizona,2000-0465-USA,34.5,-111.5
116, California,2000-0465-USA,38.3,-76.51
117, Colorado,2000-0465-USA,-22.84,-51.97
118, Idaho,2000-0465-USA,44.5,-114.25
119, Montana,2000-0465-USA,43.41,23.23
120, Nevada,2000-0465-USA,39.25,-116.75
121, New Mexico,2000-0465-USA,34.5,-106
122, Oregon,2000-0465-USA,44,-120.5
123, South Dakota,2000-0465-USA,44.5,-100.25
124, Texas,2000-0465-USA,31.25,-99.25
125, Utah,2000-0465-USA,39.25,-111.75
126, Washington,2000-0465-USA,47.5,-120.5
127, Wyoming,2000-0465-USA,43,-107.5
128, Florida,2000-0465-USA,28.75,-82.5
130,South Carolina,2000-9339-USA,34,-81
131, Georgia,2000-9339-USA,32.75,-83.5
132, Alabama,2000-9339-USA,32.75,-86.75
133, Florida,2000-9339-USA,28.75,-82.5
134, Louisiana,2000-9339-USA,31,-92
137,Franklin,2000-0297-USA,39.97,-83.02
138, Jefferson,2000-0297-USA,38.86,-77.19
141,New Hampshire,2001-0266-USA,43.67,-71.5
142, Vermont,2001-0266-USA,44,-72.75
143, Maine,2001-0266-USA,45.5,-69.25
144, Massachusetts,2001-0266-USA,42.37,-71.11
147,Kearny,2001-0145-USA,40.77,-74.15
149, Ellis,2001-0145-USA,38.94,-99.56
151, Ford,2001-0145-USA,55.63,-2.08
152, Osborne,2001-0145-USA,39.44,-98.69
153, Smith,2001-0145-USA,38.8,-119.33
154, Jewell,2001-0145-USA,42.31,-93.64
155, Edwards,2001-0145-USA,39.65,-106.59
156, Republic,2001-0145-USA,37.12,-93.48
160, Johnson,2001-0145-USA,36.13,-94.17
162, Cooper,2001-0145-USA,31.24,-95.58
163, Callaway,2001-0145-USA,30.15,-85.57
165, Gentry,2001-0145-USA,36.27,-94.48
166, Worth,2001-0145-USA,41.69,-87.8
167, Clark,2001-0145-USA,40.64,-74.31
169, Beaver,2001-0145-USA,40.7,-80.3
170, Pontotoc,2001-0145-USA,34.25,-89
172, Johnston,2001-0145-USA,41.67,-93.7
173, Atoka,2001-0145-USA,35.44,-89.78
174, Haskell,2001-0145-USA,34.5,-92.64
176, Wichita,2001-0145-USA,37.69,-97.34
178, Carson,2001-0145-USA,33.83,-118.28
179, Hutchinson,2001-0145-USA,38.06,-97.93
182, Thayer,2001-0145-USA,36.52,-91.54
185, Webster,2001-0145-USA,42.05,-71.88
187, Mills,2001-0145-USA,42.84,-106.37
189, Guthrie,2001-0145-USA,35.88,-97.43
190, Boone,2001-0145-USA,36.22,-81.67
191, Hamilton,2001-0145-USA,43.23,-79.95
192, Wapello,2001-0145-USA,41.18,-91.19
193, Johnson,2001-0145-USA,36.13,-94.17
195, Benton,2001-0145-USA,34.56,-92.59
196, Fayette,2001-0145-USA,33.68,-87.83
197, Webster,2001-0145-USA,42.05,-71.88
202,Texas,2001-0242-USA,31.25,-99.25
203, Mississippi,2001-0242-USA,32.75,-89.75
204, Louisiana,2001-0242-USA,31,-92
205, Florida,2001-0242-USA,28.75,-82.5
206, Pennsylvania,2001-0242-USA,40.27,-76.91
